id,Año,Trimestre,Subsidio_construccion,Unidades_vivienda,area_m2_constr,cod_muni
1,2019,1,No_VIS,693,64260.67,081
2,2019,1,VIP,334,17769.27,081
3,2019,1,VIS,748,43124.33,081
4,2019,1,No_VIS,3884,354112.75,111
5,2019,1,VIP,59,2666.00,111
6,2019,1,VIS,3660,189659.25,111
7,2019,1,No_VIS,408,66845.55,761
8,2019,1,VIP,928,45695.40,761
9,2019,1,VIS,2480,153567.45,761
10,2019,1,No_VIS,894,120275.33,131
11,2019,1,VIP,296,13628.00,131
12,2019,1,VIS,1020,62124.67,131
13,2019,1,No_VIS,1117,157066.50,051
14,2019,1,VIP,3,155.00,051
15,2019,1,VIS,227,12444.50,051
16,2019,2,No_VIS,586,63399.17,081
17,2019,2,VIP,354,18823.00,081
18,2019,2,VIS,1572,95059.83,081
19,2019,2,No_VIS,4243,377802.00,111
20,2019,2,VIP,508,23344.00,111
21,2019,2,VIS,1703,84899.00,111
22,2019,2,No_VIS,1337,128729.70,761
23,2019,2,VIP,172,8821.84,761
24,2019,2,VIS,465,27632.30,761
25,2019,2,No_VIS,132,17305.67,131
26,2019,2,VIP,104,4892.00,131
27,2019,2,VIS,784,45991.33,131
28,2019,2,No_VIS,993,128961.70,051
29,2019,2,VIP,35,1672.00,051
30,2019,2,VIS,110,5413.30,051
31,2019,3,No_VIS,831,94005.24,081
32,2019,3,VIP,533,27551.53,081
33,2019,3,VIS,1841,111960.76,081
34,2019,3,No_VIS,5387,460676.32,111
35,2019,3,VIP,94,4755.00,111
36,2019,3,VIS,2007,104914.68,111
37,2019,3,No_VIS,532,78530.27,761
38,2019,3,VIP,194,10453.83,761
39,2019,3,VIS,1576,109905.73,761
40,2019,3,No_VIS,205,18486.00,131
41,2019,3,VIP,361,17694.33,131
42,2019,3,VIS,856,51052.00,131
43,2019,3,No_VIS,1307,169506.67,051
44,2019,3,VIP,9,403.00,051
45,2019,3,VIS,85,5510.33,051
46,2019,4,No_VIS,748,86717.00,081
47,2019,4,VIP,124,6250.67,081
48,2019,4,VIS,857,50817.00,081
49,2019,4,No_VIS,4586,390796.40,111
50,2019,4,VIP,299,13723.00,111
51,2019,4,VIS,2134,115005.60,111
52,2019,4,No_VIS,974,137536.00,761
53,2019,4,VIP,178,9060.57,761
54,2019,4,VIS,656,41813.00,761
55,2019,4,No_VIS,140,19179.33,131
56,2019,4,VIP,687,31165.33,131
57,2019,4,VIS,1628,94243.67,131
58,2019,4,No_VIS,1124,162179.93,051
59,2019,4,VIP,90,5847.50,051
60,2019,4,VIS,153,10339.07,051
61,2020,1,No_VIS,470,42496.60,081
62,2020,1,VIP,372,19047.95,081
63,2020,1,VIS,1174,70036.40,081
64,2020,1,No_VIS,4255,316723.67,111
65,2020,1,VIP,216,10127.00,111
66,2020,1,VIS,1904,100056.33,111
67,2020,1,No_VIS,538,70971.07,761
68,2020,1,VIP,126,6348.80,761
69,2020,1,VIS,764,52021.93,761
70,2020,1,No_VIS,938,114758.00,131
71,2020,1,VIP,258,12546.00,131
72,2020,1,VIS,564,34758.00,131
73,2020,1,No_VIS,787,90808.17,051
74,2020,1,VIP,83,4017.00,051
75,2020,1,VIS,368,20677.83,051
76,2020,2,No_VIS,59,13813.00,081
77,2020,2,VIP,168,8643.00,081
78,2020,2,VIS,329,18831.00,081
79,2020,2,No_VIS,1226,102733.00,111
80,2020,2,VIP,5,188.00,111
81,2020,2,VIS,639,31457.00,111
82,2020,2,No_VIS,400,44001.00,761
83,2020,2,VIP,77,3971.60,761
84,2020,2,VIS,415,28523.00,761
85,2020,2,No_VIS,12,2154.00,131
86,2020,2,VIP,14,839.33,131
87,2020,2,VIS,170,11551.00,131
88,2020,2,No_VIS,775,106073.00,051
89,2020,2,VIP,27,1249.00,051
90,2020,2,VIS,49,2787.00,051
91,2020,3,No_VIS,227,20999.67,081
92,2020,3,VIP,967,48503.67,081
93,2020,3,VIS,2467,142868.33,081
94,2020,3,No_VIS,5483,401380.83,111
95,2020,3,VIP,22,1352.00,111
96,2020,3,VIS,1763,100013.17,111
97,2020,3,No_VIS,752,64868.13,761
98,2020,3,VIP,144,7639.20,761
99,2020,3,VIS,1472,102174.87,761
100,2020,3,No_VIS,477,52383.00,131
101,2020,3,VIP,13,900.00,131
102,2020,3,VIS,958,67675.00,131
103,2020,3,No_VIS,761,88335.67,051
104,2020,3,VIP,25,1123.00,051
105,2020,3,VIS,360,21542.33,051
106,2020,4,No_VIS,520,74760.33,081
107,2020,4,VIP,798,40154.08,081
108,2020,4,VIS,1951,114089.67,081
109,2020,4,No_VIS,3153,223328.69,111
110,2020,4,VIP,826,36877.33,111
111,2020,4,VIS,4648,228697.31,111
112,2020,4,No_VIS,1546,137092.26,761
113,2020,4,VIP,144,7667.67,761
114,2020,4,VIS,1207,89251.74,761
115,2020,4,No_VIS,248,30956.00,131
116,2020,4,VIP,899,41770.33,131
117,2020,4,VIS,1256,66334.00,131
118,2020,4,No_VIS,766,90989.00,051
119,2020,4,VIP,79,3977.50,051
120,2020,4,VIS,358,19962.00,051
121,2021,1,No_VIS,1021,94357.91,081
122,2021,1,VIP,350,17829.98,081
123,2021,1,VIS,1100,67296.09,081
124,2021,1,No_VIS,5718,377056.71,111
125,2021,1,VIP,127,5216.12,111
126,2021,1,VIS,3158,156604.29,111
127,2021,1,No_VIS,1154,138830.40,761
128,2021,1,VIP,145,7545.60,761
129,2021,1,VIS,2023,141057.60,761
130,2021,1,No_VIS,469,40625.00,131
131,2021,1,VIP,1006,47244.33,131
132,2021,1,VIS,1619,83729.00,131
133,2021,1,No_VIS,1263,161489.83,051
134,2021,1,VIP,228,13415.50,051
135,2021,1,VIS,270,16219.17,051
136,2021,2,No_VIS,599,80771.45,081
137,2021,2,VIP,971,57615.00,081
138,2021,2,VIS,1823,108733.55,081
139,2021,2,No_VIS,4188,372880.20,111
140,2021,2,VIP,265,10748.50,111
141,2021,2,VIS,4045,179313.80,111
142,2021,2,No_VIS,1645,142416.50,761
143,2021,2,VIP,106,4944.00,761
144,2021,2,VIS,439,27624.50,761
145,2021,2,No_VIS,248,43684.33,131
146,2021,2,VIP,93,5562.34,131
147,2021,2,VIS,1053,66374.67,131
148,2021,2,No_VIS,500,62494.25,051
149,2021,2,VIP,285,16247.00,051
150,2021,2,VIS,770,41213.75,051
151,2021,3,No_VIS,851,88535.06,081
152,2021,3,VIP,601,31025.67,081
153,2021,3,VIS,1964,122952.94,081
154,2021,3,No_VIS,5735,409092.75,111
155,2021,3,VIP,193,7987.00,111
156,2021,3,VIS,4719,232699.25,111
157,2021,3,No_VIS,1177,155508.50,761
158,2021,3,VIP,257,13953.00,761
159,2021,3,VIS,1553,98383.50,761
160,2021,3,No_VIS,398,36791.67,131
161,2021,3,VIP,20,1143.33,131
162,2021,3,VIS,843,56076.33,131
163,2021,3,No_VIS,1860,207189.18,051
164,2021,3,VIP,194,11224.40,051
165,2021,3,VIS,596,34203.82,051
166,2021,4,No_VIS,363,36589.42,081
167,2021,4,VIP,548,27348.23,081
168,2021,4,VIS,1135,64724.58,081
169,2021,4,No_VIS,3882,315258.43,111
170,2021,4,VIP,816,36899.50,111
171,2021,4,VIS,7186,351368.57,111
172,2021,4,No_VIS,652,57661.00,761
173,2021,4,VIP,166,8568.00,761
174,2021,4,VIS,1497,101538.00,761
175,2021,4,No_VIS,659,84384.67,131
176,2021,4,VIP,14,747.00,131
177,2021,4,VIS,1061,68277.33,131
178,2021,4,No_VIS,1055,143442.83,051
179,2021,4,VIP,467,26336.57,051
180,2021,4,VIS,566,34311.17,051
181,2022,1,No_VIS,790,62594.83,081
182,2022,1,VIP,607,30956.66,081
183,2022,1,VIS,1341,81702.17,081
184,2022,1,No_VIS,6146,555088.55,111
185,2022,1,VIP,23,1366.00,111
186,2022,1,VIS,8156,384440.45,111
187,2022,1,No_VIS,380,38079.40,761
188,2022,1,VIP,122,5950.80,761
189,2022,1,VIS,2058,147043.60,761
190,2022,1,No_VIS,926,100932.86,131
191,2022,1,VIP,36,1771.00,131
192,2022,1,VIS,1072,67304.14,131
193,2022,1,No_VIS,1039,112572.04,051
194,2022,1,VIP,14,590.00,051
195,2022,1,VIS,350,24218.96,051
196,2022,2,No_VIS,480,45434.56,081
197,2022,2,VIP,852,44824.33,081
198,2022,2,VIS,2220,131005.44,081
199,2022,2,No_VIS,6878,453454.11,111
200,2022,2,VIP,354,17169.83,111
201,2022,2,VIS,4253,212138.89,111
202,2022,2,No_VIS,1231,159468.00,761
203,2022,2,VIP,142,6601.87,761
204,2022,2,VIS,3041,210034.00,761
205,2022,2,No_VIS,505,65934.33,131
206,2022,2,VIP,19,1198.00,131
207,2022,2,VIS,444,25742.67,131
208,2022,2,No_VIS,1529,170387.00,051
209,2022,2,VIP,133,7086.00,051
210,2022,2,VIS,361,21157.00,051
211,2022,3,No_VIS,347,34476.50,081
212,2022,3,VIP,476,24859.80,081
213,2022,3,VIS,1228,73015.50,081
214,2022,3,No_VIS,5251,386317.11,111
215,2022,3,VIP,695,27353.62,111
216,2022,3,VIS,5576,259419.89,111
217,2022,3,No_VIS,908,103261.19,761
218,2022,3,VIP,109,5108.40,761
219,2022,3,VIS,1099,71092.81,761
220,2022,3,No_VIS,488,74709.67,131
221,2022,3,VIP,16,1022.00,131
222,2022,3,VIS,957,62480.33,131
223,2022,3,No_VIS,868,114915.50,051
224,2022,3,VIP,242,11851.50,051
225,2022,3,VIS,532,29222.50,051
226,2022,4,No_VIS,1347,120732.00,081
227,2022,4,VIP,432,21951.00,081
228,2022,4,VIS,1101,63887.00,081
229,2022,4,No_VIS,3859,318874.67,111
230,2022,4,VIP,199,9629.00,111
231,2022,4,VIS,5372,251445.33,111
232,2022,4,No_VIS,726,94959.50,761
233,2022,4,VIP,118,5373.50,761
234,2022,4,VIS,1327,89824.50,761
235,2022,4,No_VIS,431,41324.00,131
236,2022,4,VIP,9,457.00,131
237,2022,4,VIS,519,34025.00,131
238,2022,4,No_VIS,856,116549.00,051
239,2022,4,VIP,278,14422.00,051
240,2022,4,VIS,626,35482.00,051
