id_rango_precio,cod_muni,anio,Trimestre,Rango_precio,Unidades_por_rango,area_m2_rango
1,051,2019,1,"Rango 1",1,25.00
2,051,2019,1,"Rango 2",2,130.00
3,051,2019,1,"Rango 3",15,792.00
4,051,2019,1,"Rango 4",219,12091.50
5,051,2019,1,"Rango 5",465,41141.75
6,051,2019,1,"Rango 6",642,115330.75
7,081,2019,1,"Rango 1",14,544.50
8,081,2019,1,"Rango 2",320,17224.77
9,081,2019,1,"Rango 3",92,5469.73
10,081,2019,1,"Rango 4",324,20045.62
11,081,2019,1,"Rango 5",487,38898.82
12,081,2019,1,"Rango 6",204,25201.56
13,111,2019,1,"Rango 1",15,1238.79
14,111,2019,1,"Rango 2",60,2870.50
15,111,2019,1,"Rango 3",256,14072.00
16,111,2019,1,"Rango 4",2564,136475.03
17,111,2019,1,"Rango 5",3217,207656.17
18,111,2019,1,"Rango 6",1432,181459.51
19,131,2019,1,"Rango 1",6,208.00
20,131,2019,1,"Rango 2",290,13420.00
21,131,2019,1,"Rango 3",211,13182.17
22,131,2019,1,"Rango 4",513,35314.50
23,131,2019,1,"Rango 5",112,14537.66
24,131,2019,1,"Rango 6",782,105737.67
25,761,2019,1,"Rango 1",31,1550.40
26,761,2019,1,"Rango 2",897,44145.00
27,761,2019,1,"Rango 3",129,8175.86
28,761,2019,1,"Rango 4",1462,102314.52
29,761,2019,1,"Rango 5",119,12422.22
30,761,2019,1,"Rango 6",250,51805.00
31,051,2019,2,"Rango 1",8,280.00
32,051,2019,2,"Rango 2",9,333.00
33,051,2019,2,"Rango 3",65,3111.45
34,051,2019,2,"Rango 4",38,2642.35
35,051,2019,2,"Rango 5",348,30577.03
36,051,2019,2,"Rango 6",635,97431.17
37,081,2019,2,"Rango 1",12,452.00
38,081,2019,2,"Rango 2",342,18371.00
39,081,2019,2,"Rango 3",66,4394.75
40,081,2019,2,"Rango 4",1152,71842.08
41,081,2019,2,"Rango 5",443,44187.89
42,081,2019,2,"Rango 6",143,19211.28
43,111,2019,2,"Rango 1",7,277.00
44,111,2019,2,"Rango 2",504,23167.00
45,111,2019,2,"Rango 3",56,3748.00
46,111,2019,2,"Rango 4",1116,55812.76
47,111,2019,2,"Rango 5",2510,183966.40
48,111,2019,2,"Rango 6",1753,195729.84
49,131,2019,2,"Rango 1",4,208.00
50,131,2019,2,"Rango 2",100,4684.00
51,131,2019,2,"Rango 3",246,12756.17
52,131,2019,2,"Rango 4",434,28343.16
53,131,2019,2,"Rango 5",118,12087.67
54,131,2019,2,"Rango 6",14,5218.00
55,761,2019,2,"Rango 1",35,1519.67
56,761,2019,2,"Rango 2",97,5247.17
57,761,2019,2,"Rango 3",131,8023.96
58,761,2019,2,"Rango 4",225,14064.83
59,761,2019,2,"Rango 5",1034,79133.37
60,761,2019,2,"Rango 6",280,48373.00
61,051,2019,3,"Rango 1",2,72.00
62,051,2019,3,"Rango 2",61,3820.98
63,051,2019,3,"Rango 3",51,3216.50
64,051,2019,3,"Rango 4",30,2341.83
65,051,2019,3,"Rango 5",628,48868.86
66,051,2019,3,"Rango 6",620,116696.83
67,081,2019,3,"Rango 1",24,1042.50
68,081,2019,3,"Rango 2",509,26509.03
69,081,2019,3,"Rango 3",82,4402.16
70,081,2019,3,"Rango 4",1237,81021.07
71,081,2019,3,"Rango 5",572,55746.97
72,081,2019,3,"Rango 6",248,37244.27
73,111,2019,3,"Rango 1",9,384.00
74,111,2019,3,"Rango 2",111,6395.00
75,111,2019,3,"Rango 3",72,5077.40
76,111,2019,3,"Rango 4",2050,106946.15
77,111,2019,3,"Rango 5",2895,190043.06
78,111,2019,3,"Rango 6",2257,256745.39
79,131,2019,3,"Rango 1",1,28.00
80,131,2019,3,"Rango 2",360,17666.33
81,131,2019,3,"Rango 3",91,5151.40
82,131,2019,3,"Rango 4",404,28206.27
83,131,2019,3,"Rango 5",155,12061.09
84,131,2019,3,"Rango 6",50,6424.91
85,761,2019,3,"Rango 1",27,1181.00
86,761,2019,3,"Rango 2",167,9272.83
87,761,2019,3,"Rango 3",76,5184.50
88,761,2019,3,"Rango 4",1329,95668.40
89,761,2019,3,"Rango 5",315,31248.87
90,761,2019,3,"Rango 6",194,45880.40
91,051,2019,4,"Rango 2",92,5934.50
92,051,2019,4,"Rango 3",9,699.00
93,051,2019,4,"Rango 4",59,4048.52
94,051,2019,4,"Rango 5",655,68737.63
95,051,2019,4,"Rango 6",462,93099.35
96,081,2019,4,"Rango 1",25,960.67
97,081,2019,4,"Rango 2",99,5290.00
98,081,2019,4,"Rango 3",134,7431.40
99,081,2019,4,"Rango 4",647,40241.93
100,081,2019,4,"Rango 5",525,45444.50
101,081,2019,4,"Rango 6",175,38165.50
102,111,2019,4,"Rango 1",7,282.00
103,111,2019,4,"Rango 2",292,13441.00
104,111,2019,4,"Rango 3",319,14280.50
105,111,2019,4,"Rango 4",1439,78684.74
106,111,2019,4,"Rango 5",3246,213052.92
107,111,2019,4,"Rango 6",1417,186060.84
108,131,2019,4,"Rango 1",4,169.50
109,131,2019,4,"Rango 2",683,30995.83
110,131,2019,4,"Rango 3",134,8291.67
111,131,2019,4,"Rango 4",807,54786.67
112,131,2019,4,"Rango 5",62,5141.33
113,131,2019,4,"Rango 6",78,14038.00
114,761,2019,4,"Rango 1",18,662.00
115,761,2019,4,"Rango 2",160,8398.57
116,761,2019,4,"Rango 3",70,4114.99
117,761,2019,4,"Rango 4",192,13626.44
118,761,2019,4,"Rango 5",678,55312.35
119,761,2019,4,"Rango 6",512,97234.65
120,051,2020,1,"Rango 1",15,500.00
121,051,2020,1,"Rango 2",68,3517.00
122,051,2020,1,"Rango 3",49,2668.83
123,051,2020,1,"Rango 4",246,14597.60
124,051,2020,1,"Rango 5",463,41507.45
125,051,2020,1,"Rango 6",314,48695.12
126,081,2020,1,"Rango 1",17,537.00
127,081,2020,1,"Rango 2",355,18510.95
128,081,2020,1,"Rango 3",99,6002.34
129,081,2020,1,"Rango 4",753,48529.54
130,081,2020,1,"Rango 5",392,33275.17
131,081,2020,1,"Rango 6",28,5678.00
132,111,2020,1,"Rango 1",21,868.00
133,111,2020,1,"Rango 2",228,11622.74
134,111,2020,1,"Rango 3",183,9442.35
135,111,2020,1,"Rango 4",1592,84368.23
136,111,2020,1,"Rango 5",2911,162182.71
137,111,2020,1,"Rango 6",1224,148295.97
138,131,2020,1,"Rango 1",1,31.00
139,131,2020,1,"Rango 2",257,12515.00
140,131,2020,1,"Rango 3",24,1846.00
141,131,2020,1,"Rango 4",282,20366.00
142,131,2020,1,"Rango 5",490,31863.43
143,131,2020,1,"Rango 6",448,82894.57
144,761,2020,1,"Rango 1",27,968.00
145,761,2020,1,"Rango 2",111,5768.80
146,761,2020,1,"Rango 3",59,4099.15
147,761,2020,1,"Rango 4",613,43911.17
148,761,2020,1,"Rango 5",259,26623.07
149,761,2020,1,"Rango 6",233,41622.81
150,051,2020,2,"Rango 1",6,217.00
151,051,2020,2,"Rango 2",21,1032.00
152,051,2020,2,"Rango 3",12,735.00
153,051,2020,2,"Rango 4",27,1953.00
154,051,2020,2,"Rango 5",190,14295.93
155,051,2020,2,"Rango 6",568,90627.07
156,081,2020,2,"Rango 2",168,8643.00
157,081,2020,2,"Rango 3",12,869.00
158,081,2020,2,"Rango 4",149,9319.00
159,081,2020,2,"Rango 5",19,1625.00
160,081,2020,2,"Rango 6",40,12188.00
161,111,2020,2,"Rango 2",5,188.00
162,111,2020,2,"Rango 3",15,908.00
163,111,2020,2,"Rango 4",752,35661.04
164,111,2020,2,"Rango 5",552,38712.75
165,111,2020,2,"Rango 6",541,58720.21
166,131,2020,2,"Rango 2",14,839.33
167,131,2020,2,"Rango 3",21,1400.67
168,131,2020,2,"Rango 4",135,9311.00
169,131,2020,2,"Rango 5",12,2154.00
170,761,2020,2,"Rango 1",6,260.00
171,761,2020,2,"Rango 2",75,3857.60
172,761,2020,2,"Rango 3",31,2002.32
173,761,2020,2,"Rango 4",325,23219.08
174,761,2020,2,"Rango 5",301,27178.82
175,761,2020,2,"Rango 6",77,16006.18
176,051,2020,3,"Rango 2",97,4935.00
177,051,2020,3,"Rango 3",22,1331.28
178,051,2020,3,"Rango 4",303,18091.81
179,051,2020,3,"Rango 5",340,30086.95
180,051,2020,3,"Rango 6",359,55432.96
181,081,2020,3,"Rango 1",10,390.00
182,081,2020,3,"Rango 2",960,48303.15
183,081,2020,3,"Rango 3",137,7400.33
184,081,2020,3,"Rango 4",1360,86774.85
185,081,2020,3,"Rango 5",206,17077.67
186,081,2020,3,"Rango 6",21,3922.00
187,111,2020,3,"Rango 1",2,103.33
188,111,2020,3,"Rango 2",46,2044.67
189,111,2020,3,"Rango 3",82,3842.26
190,111,2020,3,"Rango 4",2184,119199.31
191,111,2020,3,"Rango 5",3313,198411.94
192,111,2020,3,"Rango 6",1619,177792.49
193,131,2020,3,"Rango 2",91,5346.00
194,131,2020,3,"Rango 3",10,756.00
195,131,2020,3,"Rango 4",857,61573.00
196,131,2020,3,"Rango 5",236,19347.57
197,131,2020,3,"Rango 6",241,33035.43
198,761,2020,3,"Rango 1",35,1194.00
199,761,2020,3,"Rango 2",127,7028.20
